URI,Label,Comment,Superclasses,EquivalentClasses
https://w3id.org/sbeo#AlzheimersDiseasedPerson,Alzheimer's Diseased Person,A person having an Alzheimer's disease.,"[""https://w3id.org/sbeo#MentalImpairedPerson""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Angle,Angle,,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Channel""]",
https://w3id.org/sbeo#Apartment,Apartment,A suite of rooms usually on one floor of an apartment house (Cambridge English Dictionary).,"[""https://w3id.org/seas/BuildingSpace""]",
https://w3id.org/sbeo#AppartmentBuilding,Appartment Building,A set of one or more buildings that contain apartments in it.,"[""https://w3id.org/seas/ResidentialBuilding""]",
https://w3id.org/saref#Appliance,Appliance,,"[""https://w3id.org/seas/FeatureOfInterest""]","[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#Appliance""]"
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#Appliance,Appliance,"The household appliance that consumes energy, such as fridge, oven, TV, etc.","[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/EnergyResourceOntology.owl#EnergyConsumerFacility""]",
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#Area,Area,Specifies the area of the building.,"[""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/gbBuildingOntology.owl#BuildingParameter""]",
https://w3id.org/seas/AssemblyBuilding,Assembly Building,"places used for people gathering for entertainment, worship, and eating or drinking. Examples: churches, restaurants.","[""https://w3id.org/seas/NonResidentialBuilding""]",
https://w3id.org/sbeo#AssemblyPoint,Assembly Point,"A place where people in an office, etc. should go if there is an emergency, for example, a fire (Cambridge English Dictionary) .","[""https://w3id.org/sbeo#RoutePoint""]",
http://energy.linkeddata.es/em-kpi/ontology#Assumption,Assumption,The assumption of the methematical model of KPI calculation,"[""http://energy.linkeddata.es/em-kpi/ontology#KPICalculationComponent""]",
https://w3id.org/seas/Attic,Attic,"the part of a building, especially of a house, directly under a roof; garret.","[""https://w3id.org/seas/Room""]",
https://w3id.org/sbeo#AudioDescription,Audio Description,"A type of description in which sounds such as voices, are used to provide the information about any entity.","[""https://w3id.org/sbeo#Description""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Audio_visual_appliance,Audio visual appliance,,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow_terminal""]",
https://saref.etsi.org/saref4bldg/AudioVisualAppliance,Audio visual appliance,"An audio-visual appliance is a device that displays, captures, transmits, or receives audio or video.

Audio-visual appliances may be fixed in place or may be able to be moved from one space to another. They may require an electrical supply that may be supplied either by an electrical circuit or provided from a local battery source. Audio-visual appliances may be connected to data circuits including specialist circuits for audio visual purposes only.","[""https://saref.etsi.org/saref4bldg/FlowTerminal"", {""onProperty"": ""https://saref.etsi.org/saref4bldg/audioVolume"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/mediaSource"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}]",
https://w3id.org/sbeo#AutonomousMobilityPerson,Autonomous Mobility Person,"A person who can walk on his/her with a help of a non-motorised device, e.g. crutches.","[""https://w3id.org/sbeo#MotorImpairedPerson""]",
https://w3id.org/sbeo#AvailabilityStatus,Availability Status,It expresses the status of something that is either available or not.,[],"[{""http://www.w3.org/2002/07/owl#oneOf"": ""N8670b99e0e9943b8b08a36c0502c4d77""}]"
https://w3id.org/seas/Balcony,Balcony,"An accessible structure extending from a building, especially outside a window.","[""https://w3id.org/seas/BuildingSpace""]",
https://w3id.org/seas/Basement,Basement,"A story of a building, partly or wholly underground.","[""https://w3id.org/seas/Room""]",
https://w3id.org/seas/Bathroom,Bathroom,Bathroom is mainly used for bathing &amp; washing up related activities.,"[""https://w3id.org/seas/Room""]",
http://energy.linkeddata.es/em-kpi/ontology#Battery,Battery,The set of batteries that stores energy.,"[""http://energy.linkeddata.es/em-kpi/ontology#StoringUnit""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Battery_storage,Battery storage,,"[""https://w3id.org/saref#Storage"", {""onProperty"": ""https://w3id.org/saref#controlsProperty"", ""someValuesFrom"": ""https://sargon-n5geh.netlify.app/ontology/1.0/classes/State_of_charge""}]",
https://w3id.org/seas/Bedroom,Bedroom,Bedroom is used mainly for sleeping.,"[""https://w3id.org/seas/Room""]",
https://w3id.org/sbeo#BlindPerson,Blind Person,A person who has lost the vision completly and can neither see naturally nor with the help of any device.,"[""https://w3id.org/sbeo#VisuallyImpairedPerson""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Boiler,Boiler,,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Energy_conversion_device"", {""onProperty"": ""https://w3id.org/saref#hasFunction"", ""someValuesFrom"": ""https://w3id.org/saref#LevelControlFunction""}, {""onProperty"": ""https://w3id.org/saref#hasState"", ""someValuesFrom"": ""https://w3id.org/saref#State""}]",
https://w3id.org/respond#Boiler,Boiler,"A device that heats water, especially to provide heating and hot water in a house.","[""https://w3id.org/respond#HeatingDevice""]",
https://saref.etsi.org/saref4bldg/Boiler,Boiler,"A boiler is a closed, pressure-rated vessel in which water or other fluid is heated using an energy source such as natural gas, heating oil, or electricity. The fluid in the vessel is then circulated out of the boiler for use in various processes or heating applications.","[""https://saref.etsi.org/saref4bldg/EnergyConversionDevice"", {""onProperty"": ""https://saref.etsi.org/saref4bldg/heatTransferSurfaceArea"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/nominalEnergyConsumption"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/nominalPartLoadRatio"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/outletTemperatureMax"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/outletTemperatureMin"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/pressureRating"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/waterInletTemperatureMax"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/waterInletTemperatureMin"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/waterStorageCapacity"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/energySource"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/isWaterStorageHeater"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#boolean""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/operatingMode"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}]","[""https://w3id.org/respond#Boiler""]"
https://w3id.org/seas/Building,Building,"Buildings are roofed constructions which can be used separately, have been built for permanent purposes, can be entered by persons and are suitable or intended for protecting persons, animals or objects.","[""https://w3id.org/sbeo#Space"", ""https://w3id.org/seas/BuildingSpace""]",
